0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:18 +0900] "GET /edt/resources/css/product.css HTTP/1.1" 200 11980
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:19 +0900] "GET /edt/main.jsp HTTP/1.1" 200 19970
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:20 +0900] "GET /edt/main.jsp HTTP/1.1" 200 19970
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:41:59 +0900] "GET /edt/products.jsp HTTP/1.1" 200 30790
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:42:02 +0900] "GET /edt/products.jsp?brand=%27JORDAN%27 HTTP/1.1" 200 9785
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:52 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:54 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:54 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:54 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:55 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:55 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:55 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:55 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:55 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:55 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:57 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:57 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:52:58 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:53:22 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:53:57 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:54:40 +0900] "GET /ch10/ch10_ex09.html HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:58:42 +0900] "GET /edt/products.jsp HTTP/1.1" 200 31282
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:59:13 +0900] "GET /edt/products.jsp HTTP/1.1" 200 31282
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:59:14 +0900] "GET /edt/products.jsp?brand=%27JORDAN%27 HTTP/1.1" 200 10277
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:59:47 +0900] "GET /edt/products.jsp?brand=%27JORDAN%27 HTTP/1.1" 200 10275
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:59:49 +0900] "GET /edt/products.jsp HTTP/1.1" 200 31280
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:18 +0900] "GET /edt/products.jsp HTTP/1.1" 200 31282
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:22 +0900] "GET /edt/products.jsp?brand=%27NIKE%27 HTTP/1.1" 200 17573
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:25 +0900] "GET /edt/products.jsp?brand=%27NIKE%27 HTTP/1.1" 200 17573
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/products.jsp?brand=%27NIKE%27 HTTP/1.1" 200 17573
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/css/products.css HTTP/1.1" 200 7251
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/js/script.js HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/js/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/logo-basic.png HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/search_btn2.png HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/CV9388-100.png HTTP/1.1" 200 544114
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/CD8179-100.png HTTP/1.1" 200 313158
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/CQ4277-001.png HTTP/1.1" 200 455136
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/CD4487-100.png HTTP/1.1" 200 497807
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/DH0690-200.png HTTP/1.1" 200 558694
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/DM7866-140.png HTTP/1.1" 200 461666
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/AH7767-101.png HTTP/1.1" 200 849623
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/AA2261-100.png HTTP/1.1" 200 437383
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/CV1363-001.png HTTP/1.1" 200 482807
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/DH2684-001.png HTTP/1.1" 200 408271
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/CV1363-100.png HTTP/1.1" 200 456497
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/DH2482-100.png HTTP/1.1" 200 222832
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/DD3223-100.png HTTP/1.1" 200 397479
0:0:0:0:0:0:0:1 - - [25/Jan/2022:10:00:26 +0900] "GET /edt/resources/img/p_img/DD1503-101.png HTTP/1.1" 200 418444
